trait,trunk,series,model,0,1,2,3,4,5,6,Mean
Evil,A: II drivers,$\Delta P_0$,$M_0$ fit on $\Delta b$,9.978522285260738,10.380374507785168,9.384051177257685,39.24835930273727,14.957356202867375,25.367765965494012,20.866740611305186,18.597595721815345
Evil,A: II drivers,$\Delta P_0$,$M_0$ fit on $b_{t+1}$,9.978522285260732,11.572649836809283,9.38405117237607,18.893756370128845,18.263925236130373,17.88821408972095,18.140310030911674,14.874489860191133
Evil,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[0]}$",$M_0$ fit on $\Delta b$,9.978522285260738,11.943504179659305,9.27158157643775,42.05009590618021,18.32426467983377,26.93983271352247,23.44520374417711,20.279000726438767
Evil,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[0]}$",$M_0$ fit on $b_{t+1}$,9.978522285260732,12.657041222517963,9.271581575528844,20.366165684349518,20.641056700788855,20.78184437566508,21.64926298608849,16.477924975742784
Evil,A: II drivers,"$\Delta P_t^{t\leftarrow 0,[0]}$",$M_0$ fit on $\Delta b$,9.978522285260738,12.300387952905714,9.235891028728371,45.08675680959821,19.514528485945323,29.67745270585594,25.798380220663944,21.655988498422605
Evil,A: II drivers,"$\Delta P_t^{t\leftarrow 0,[0]}$",$M_0$ fit on $b_{t+1}$,9.978522285260732,12.659924384082284,9.235891021404289,19.377404852455175,20.04911918856091,19.980656433721926,20.95964462024002,16.034451826532194
Evil,A: II drivers,"$\Delta P_t^{t\leftarrow t,[0]}$",$M_0$ fit on $\Delta b$,9.858651213010544,13.409995492790014,11.28887799193529,39.60088435019307,20.36570948336021,25.521440790590145,23.48381745313876,20.50419668214543
Evil,A: II drivers,"$\Delta P_t^{t\leftarrow t,[0]}$",$M_0$ fit on $b_{t+1}$,9.858651213010539,13.570077279939863,11.288878008781326,24.1239382224988,26.285491333240003,25.050534241050208,25.878357797950773,19.43656115663879
Evil,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[t]}$",$M_0$ fit on $\Delta b$,9.978522285260738,26.48496492544163,10.940972798119946,19.480983469162663,19.413887965436338,17.164697569520936,15.984873252780613,17.06412889510327
Evil,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[t]}$",$M_0$ fit on $b_{t+1}$,9.978522285260732,29.135852702871002,10.940972829053658,45.16622966166046,30.9051199650284,39.92429064790885,33.78270349554658,28.54767022676138
