quantity,,,RMSE of $f_0$,RMSE of $f_0$,RMSE of $f_0$,RMSE of $f_0$,RMSE of $f_0$,RMSE of $f_0$,RMSE of $f_0$,RMSE of $f_0$,Regret,Regret,Regret,Regret,Regret,Regret,Regret,Regret
t,,,0,1,2,3,4,5,6,Mean,0,1,2,3,4,5,6,Mean
trait,trunk,series,,,,,,,,,,,,,,,,
Evil,A: II drivers,$\Delta P_0$,10.926304658860516,12.302749499779972,10.332480532192111,19.291672856289527,18.652009661139157,18.29487394246667,18.54676043070501,15.478121654490423,6.517578063696615,4.993120462387884,5.6001061439261886,5.308077737403732,4.842932310693779,4.2422873672179655,4.326813469461703,5.118702222112552
Evil,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[0]}$",10.926304658860516,13.396499955893828,10.222111409467656,20.84050013613414,21.046201664954634,21.200647259315755,22.045444560836483,17.096815663637575,6.517578063696615,4.349423540945468,4.771542213526642,4.3131673062021925,4.106942579151017,4.340079336233444,4.226494123123,4.660746737554054
Evil,A: II drivers,"$\Delta P_t^{t\leftarrow 0,[0]}$",10.926304658860516,13.41623106922274,10.182477505495381,19.891258585756585,20.461076071420845,20.436274665211183,21.394032543044265,16.672522157001644,6.517578063696615,3.245342680241201,3.991946579575421,2.827666102038286,3.1495576935624747,3.0050369535903805,3.1546690691057115,3.6988281631157274
Evil,A: II drivers,"$\Delta P_t^{t\leftarrow t,[0]}$",10.810570103003153,14.343122861108503,12.1303258940843,24.527683508996194,26.613972361352356,25.408320094506948,26.235323329617472,20.00990259323842,6.475686859743993,2.8882570324421586,3.7693410634669906,5.902539171931764,7.348537144034879,6.395568900589485,6.172652290988406,5.564654637599667
Evil,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[t]}$",10.926304658860513,26.913688937159403,11.783126839676823,19.138821478910767,19.67761343728208,17.184544650186833,16.150314585978805,17.396344941150748,6.517578063696612,17.676051015296693,4.2359112760382,3.4566548925798823,6.395043759163562,5.074782332211907,4.773099838761013,6.8755887396782684
Evil,A: II drivers,"$\Delta P_t^{t\leftarrow 0,[t]}$",10.926304658860513,27.81979614930902,11.529568588410672,17.562402887391645,19.008164614261002,17.029225511292108,15.163472682660885,17.00556215602655,6.517578063696612,18.322700224145763,3.698998079049095,2.325302131089103,6.292347665516248,5.5591093979747885,4.874427502552868,6.798637580574925
Evil,A: II drivers,"$\Delta P_t^{t\leftarrow t,[t]}$",10.810570103003153,28.444047753707675,11.746797322250078,18.07980969069587,20.724530087284485,17.543350050114682,17.07883742535976,17.77542034748796,6.475686859743993,18.64958921150299,3.1653923016329326,1.892904082263751,7.890459944949269,3.8208949894853603,4.405170627008792,6.614299716655299
Evil,B: I drivers,$\Delta P_0$,10.926304658860516,18.79616587905748,17.430569327471908,14.141926307690142,14.139478224384645,13.606775590213575,9.01478741673204,14.0080010577729,6.517578063696615,7.423311928020855,7.703792421891658,5.7861333836940965,6.798845283340054,5.784359537969648,6.064935426712701,6.582708006475089
