trait,trunk,model,0,1,2,3,4,5,6,Mean
Sycophancy,A: II drivers,$M_0$ fit on $\Delta b$,15.187778971166633,49.991391550242604,15.863900681825992,41.40639768497825,26.41466011958796,60.534823030712346,56.79498135820543,38.027704770959886
Sycophancy,A: II drivers,"$M_0$ fit $\times\, g(\mathbf{z}_t^{[0,0]})$",17.972466281513373,35.30843774346594,17.767741632551846,27.236500398440338,21.72272243065169,30.492278677814227,31.582628550731712,26.01182510216702
Sycophancy,A: II drivers,"$M_0$ fit $\times\, g(p_t^{[0]})$",18.559981663122816,36.91007271947137,18.126927680315458,34.269268002534965,25.57188395544053,42.09192124660023,46.31637579882323,31.692347295186945
Sycophancy,A: II drivers,"$M_0$ fit $\times\, g(q_t^{[0,0]})$",17.90343979476724,44.754689304354656,17.568065784554726,35.77290521938124,23.51789372262914,52.47553164125418,49.015280827248034,34.4296866134556
Sycophancy,A: II drivers,"$M_0$ fit $\times\, g(\rho_t^{[0]})$",17.784439262380943,45.6499087355498,17.653672735932684,32.59737010752766,22.094385744242537,45.63804096240736,42.89329861193873,32.044445165711394
Sycophancy,A: II drivers,"$M_0$ fit $\times\, g(r_t^{[0]})$",18.122188634642754,43.39858946935976,17.60413262776452,36.6557713658918,24.89476242067695,51.38430992313381,48.82062697987758,34.41148306019246
Sycophancy,A: II drivers,"$M_0$ fit $\times\, g(b_t)$",17.631764737202523,30.86268688693549,17.660391975480955,26.381865772158157,21.32296477692336,30.239718157816263,29.03128248424633,24.732953541537587
Sycophancy,A: II drivers,Refit at $t$,12.212164859373065,19.91806317996435,12.111691622586761,17.069275011759675,15.885462394548167,21.287095694638026,20.43257949559584,16.988047465495125
Sycophancy,B: I drivers,$M_0$ fit on $\Delta b$,15.187778971166633,22.62704732617391,24.880899821449177,13.807171401375458,18.758616720624193,25.333651712324507,12.655614740798987,19.035825813416125
Sycophancy,B: I drivers,"$M_0$ fit $\times\, g(\mathbf{z}_t^{[0,0]})$",18.097216718793607,19.569984325035158,22.36473079051326,18.347003827309056,18.83185238036907,22.158088434949526,17.111809664426076,19.497240877342254
Sycophancy,B: I drivers,"$M_0$ fit $\times\, g(p_t^{[0]})$",22.390397154928316,23.810705422517216,22.76602534350155,17.24945568880375,17.648252029592033,20.730464613191135,15.898036404547726,20.070476665297388
Sycophancy,B: I drivers,"$M_0$ fit $\times\, g(q_t^{[0,0]})$",24.871369232751817,20.00144034825753,21.471307767342633,26.28470972439961,23.322703812402754,25.304824056368236,34.54089771268888,25.113893236315924
Sycophancy,B: I drivers,"$M_0$ fit $\times\, g(\rho_t^{[0]})$",19.183506334951332,19.820746519470916,21.313978115149112,20.80188215602576,19.296382124078033,21.613562218758023,23.815662856004277,20.835102903491066
Sycophancy,B: I drivers,"$M_0$ fit $\times\, g(r_t^{[0]})$",26.180743477884253,21.52855365434153,21.35838000752201,19.738527987201422,17.750283571323475,21.585717713297853,21.275098365526688,21.345329253871032
Sycophancy,B: I drivers,"$M_0$ fit $\times\, g(b_t)$",17.876744980409534,18.885942800269838,20.982778125096416,17.619600205724307,17.768442405036556,20.723242489533938,15.84690224986573,18.52909332227662
Sycophancy,B: I drivers,Refit at $t$,12.212164859373065,13.464297636313704,16.111161567934143,11.820983657254162,12.872302572232687,15.039211784652256,10.117651264476477,13.091110477462355
Sycophancy,C: Normal only,$M_0$ fit on $\Delta b$,15.187778971166633,13.885631808955077,13.551713474432598,12.826030639651044,14.239776698167585,12.773532189177741,16.428080091332934,14.127506267554802
Sycophancy,C: Normal only,"$M_0$ fit $\times\, g(\mathbf{z}_t^{[0,0]})$",18.355676550869266,16.769385964957966,18.588526837722796,16.771599066103228,17.41798986330064,17.257032801904447,21.39800824675397,18.07974561880176
Sycophancy,C: Normal only,"$M_0$ fit $\times\, g(p_t^{[0]})$",21.749508130770682,18.208251836945454,17.71392333795896,16.49833766950836,16.982435522867238,16.74709988009576,19.945178169862398,18.26353350685841
Sycophancy,C: Normal only,"$M_0$ fit $\times\, g(q_t^{[0,0]})$",20.53289727423312,16.634328537108555,18.173501243201095,18.057362340545815,17.45391764734438,20.978868743751292,22.908371164621766,19.248463850115147
Sycophancy,C: Normal only,"$M_0$ fit $\times\, g(\rho_t^{[0]})$",19.23635864007997,16.85250179709076,16.968387020424043,16.846268665165624,16.897106333718128,18.618378793276168,22.746738488675632,18.309391391204333
Sycophancy,C: Normal only,"$M_0$ fit $\times\, g(r_t^{[0]})$",27.17671790110564,21.86185232040617,18.47423514324256,18.92716885133629,17.752084085128814,16.039894799266907,26.405499268007194,20.948207481213366
Sycophancy,C: Normal only,"$M_0$ fit $\times\, g(b_t)$",18.331572537106133,16.604265839718593,16.871705585975608,16.179993512684106,16.99609762848877,16.525406891345888,20.139126625969755,17.378309803041265
Sycophancy,C: Normal only,Refit at $t$,12.212164859373065,10.612684032738182,10.719901752123661,10.139608993155472,10.590103459642487,10.28850080342181,13.790403097522884,11.193338142568223
