trait,trunk,series,model,0,1,2,3,4,5,6,Mean
Evil,C: Normal only (control),"$\Delta P_t^{t\leftarrow 0,[t]}$",$M_0$ fit on $\Delta b$,9.978522285260738,10.995824626062111,11.580649203845478,11.634621975298368,11.845357298556127,11.210072841822836,11.417033664774106,11.237440270802823
Evil,C: Normal only (control),"$\Delta P_t^{t\leftarrow 0,[t]}$",Refit at $t$,4.408726595163901,7.305075471175731,6.499396422610272,6.465455272078083,5.7792893785859185,6.033099374919481,7.614733323999759,6.30082511979045
Sycophancy,A: II drivers,$\Delta P_0$,$M_0$ fit on $\Delta b$,15.04621729286217,49.76168993542299,15.693568680302098,41.17655919450111,26.2894287443191,60.28650370385844,56.55165278981741,37.82937433444048
Sycophancy,A: II drivers,$\Delta P_0$,Refit at $t$,12.212164859373065,19.91806317996435,12.111691622586761,17.069275011759675,15.885462394548167,21.287095694638026,20.43257949559584,16.988047465495125
Sycophancy,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[0]}$",$M_0$ fit on $\Delta b$,15.04621729286217,51.35569477308997,12.564958298289634,36.818273298235155,22.04661906728431,60.88174111853782,56.22998363333431,36.420498211661915
Sycophancy,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[0]}$",Refit at $t$,12.212164859373065,19.588869630176927,10.160410445866198,15.713292169332709,14.50934241933439,21.620162105908836,20.687861129236417,16.356014679889793
Sycophancy,A: II drivers,"$\Delta P_t^{t\leftarrow 0,[0]}$",$M_0$ fit on $\Delta b$,15.04621729286217,57.634012300836446,13.613926152374633,50.78034753964284,32.68172261568335,73.88448617067382,69.60562111412953,44.74947616945754
Sycophancy,A: II drivers,"$\Delta P_t^{t\leftarrow 0,[0]}$",Refit at $t$,12.212164859373065,20.28495850499947,10.211027939886726,17.18786117700574,15.561069077803644,21.764929109302397,20.91926544180092,16.877325158595998
Sycophancy,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[t]}$",$M_0$ fit on $\Delta b$,15.04621729286217,20.395960206071152,13.188604828167424,13.174360124103643,15.292525421266594,16.004372837093577,27.860923936920827,17.280423520926483
Sycophancy,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[t]}$",Refit at $t$,12.212164859373065,15.982052891292241,9.268996969897483,10.85498738488048,14.44154959396446,12.085116689418255,20.157016548576337,13.571697848200332
Sycophancy,A: II drivers,"$\Delta P_t^{t\leftarrow 0,[t]}$",$M_0$ fit on $\Delta b$,15.04621729286217,18.83122029291727,13.173454692265615,10.65495963934855,16.38320770779541,13.33281534121325,28.17051820314171,16.513199024220565
Sycophancy,A: II drivers,"$\Delta P_t^{t\leftarrow 0,[t]}$",Refit at $t$,12.212164859373065,15.743474699298742,8.877158710550878,10.554354943281615,14.354382584271969,13.43614409909467,20.525217731343155,13.671842518173444
Sycophancy,B: I drivers,$\Delta P_0$,$M_0$ fit on $\Delta b$,15.04621729286217,22.447559239172346,24.685684490047013,13.956049478356118,18.61165710376262,25.141969342017916,12.579300162950469,18.924062444166953
Sycophancy,B: I drivers,$\Delta P_0$,Refit at $t$,12.212164859373065,13.464297636313704,16.111161567934143,11.820983657254162,12.872302572232687,15.039211784652256,10.117651264476477,13.091110477462355
Sycophancy,B: I drivers,"$\Delta P_t^{0\leftarrow 0,[0]}$",$M_0$ fit on $\Delta b$,15.04621729286217,23.060617179833617,21.779769784056057,11.170558299268109,14.510805854813363,20.911706321133625,10.537518372717324,16.716741872097753
Sycophancy,B: I drivers,"$\Delta P_t^{0\leftarrow 0,[0]}$",Refit at $t$,12.212164859373065,10.872791515315292,13.210070730109301,8.998987688243963,10.42093338467756,12.59465065815248,7.729254176987064,10.862693287551247
Sycophancy,B: I drivers,"$\Delta P_t^{t\leftarrow 0,[0]}$",$M_0$ fit on $\Delta b$,15.04621729286217,25.528097094270365,24.637954557249923,12.401825637387459,18.756929524840274,25.518921190547005,9.805287591531808,18.813604698384147
Sycophancy,B: I drivers,"$\Delta P_t^{t\leftarrow 0,[0]}$",Refit at $t$,12.212164859373065,11.840304982378216,13.564913780291405,9.61850948889723,11.104458896684358,13.006615265286614,7.669251392030223,11.28803123784873
Sycophancy,B: I drivers,"$\Delta P_t^{0\leftarrow 0,[t]}$",$M_0$ fit on $\Delta b$,15.04621729286217,13.795853666989338,14.753163405688435,14.323281100985106,11.26440399832094,10.692297779555233,9.728254557477431,12.80049597169695
Sycophancy,B: I drivers,"$\Delta P_t^{0\leftarrow 0,[t]}$",Refit at $t$,12.212164859373065,8.552716883982676,13.044534036675083,9.514818401874434,8.215418867089301,10.096552356134085,7.541838684027511,9.882577727022309
Sycophancy,B: I drivers,"$\Delta P_t^{t\leftarrow 0,[t]}$",$M_0$ fit on $\Delta b$,15.04621729286217,13.301710110553712,14.841901649218117,14.66192315649128,10.64895834200318,9.366060920088007,9.568743150094228,12.490787803044384
Sycophancy,B: I drivers,"$\Delta P_t^{t\leftarrow 0,[t]}$",Refit at $t$,12.212164859373065,8.412138944764154,13.044014541669954,9.846416554663586,7.351754360522577,8.682962759793817,6.969406583624887,9.502694086344576
Sycophancy,C: Normal only (control),$\Delta P_0$,$M_0$ fit on $\Delta b$,15.04621729286217,13.760540595120643,13.43446304870968,12.723135271527882,14.050110545009938,12.715501757992143,16.357229500150922,14.012456858767624
Sycophancy,C: Normal only (control),$\Delta P_0$,Refit at $t$,12.212164859373065,10.612684032738182,10.719901752123661,10.139608993155472,10.590103459642487,10.28850080342181,13.790403097522884,11.193338142568223
Sycophancy,C: Normal only (control),"$\Delta P_t^{0\leftarrow 0,[0]}$",$M_0$ fit on $\Delta b$,15.04621729286217,10.630626264370369,10.865052561322502,9.9388142050877,10.400661242684878,11.739902155813287,15.17119699746656,11.970352959943922
Sycophancy,C: Normal only (control),"$\Delta P_t^{0\leftarrow 0,[0]}$",Refit at $t$,12.212164859373065,8.827727560613205,8.97284722077598,7.7929770389255495,8.73996731374547,8.027136052318763,12.705713852960885,9.61121912838756
Sycophancy,C: Normal only (control),"$\Delta P_t^{t\leftarrow 0,[0]}$",$M_0$ fit on $\Delta b$,15.04621729286217,10.260049934388087,11.193512591227329,10.329595390852385,10.790963333205177,11.036066065494873,15.171838560915937,11.975463309849422
Sycophancy,C: Normal only (control),"$\Delta P_t^{t\leftarrow 0,[0]}$",Refit at $t$,12.212164859373065,8.62065054816842,8.91828335283381,7.650836230899077,8.795150634976759,7.965087604126687,13.380085284163394,9.648894073505888
Sycophancy,C: Normal only (control),"$\Delta P_t^{0\leftarrow 0,[t]}$",$M_0$ fit on $\Delta b$,15.04621729286217,12.638208679879947,12.696413251732046,13.634493027377871,13.434893812288102,10.222797618117449,12.424523175967115,12.87107812260353
Sycophancy,C: Normal only (control),"$\Delta P_t^{0\leftarrow 0,[t]}$",Refit at $t$,12.212164859373065,8.609639601098744,9.72150970665646,9.538513564231344,10.243864887899788,7.952393822243636,10.333459670275499,9.801649444539791
Sycophancy,C: Normal only (control),"$\Delta P_t^{t\leftarrow 0,[t]}$",$M_0$ fit on $\Delta b$,15.04621729286217,13.186125111991052,13.046272316116656,13.90004127202238,13.458717780822505,9.763976261904451,11.704728395715538,12.87229691877639
Sycophancy,C: Normal only (control),"$\Delta P_t^{t\leftarrow 0,[t]}$",Refit at $t$,12.212164859373065,8.69134889384467,9.586631703261054,9.269060325418778,9.957615113181184,7.27190572699506,9.231431137744917,9.460022537116961
